City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-11.13,92,100,1.26,RU,1681842728
1,edinburgh of the seven seas,-37.0676,-12.3116,15.01,60,81,5.87,SH,1681842728
2,sao bento do sul,-26.2503,-49.3786,16.65,99,100,0.64,BR,1681842728
3,lata,40.1629,-8.3327,25.51,46,63,1.22,PT,1681842728
4,aasiaat,68.7098,-52.8699,-4.27,88,100,4.21,GL,1681842729
5,ramapuram,13.1167,79.2,25.59,68,1,0.88,IN,1681842729
6,arraial do cabo,-22.9661,-42.0278,25.98,89,75,2.57,BR,1681842729
7,tazovsky,67.4667,78.7,-15.0,91,63,4.1,RU,1681842729
8,qaqortoq,60.7167,-46.0333,1.31,84,30,0.97,GL,1681842729
9,maughold,54.2988,-4.3184,11.57,70,0,7.07,IM,1681842730
10,longyearbyen,78.2186,15.6401,0.91,86,75,3.09,SJ,1681842731
11,port-aux-francais,-49.35,70.2167,5.73,82,85,15.87,TF,1681842731
12,emerald,-23.5333,148.1667,17.41,92,0,3.5,AU,1681842731
13,inyonga,-6.7167,32.0667,18.58,94,96,1.42,TZ,1681842731
14,bredasdorp,-34.5322,20.0403,15.36,87,12,1.74,ZA,1681842731
15,fort bragg,35.139,-79.006,25.75,23,0,6.17,US,1681842731
16,sandnessjoen,66.0217,12.6316,9.25,69,75,1.54,NO,1681842732
17,grytviken,-54.2811,-36.5092,2.41,83,81,0.82,GS,1681842732
18,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,100,100,3.0,RU,1681842732
19,port alfred,-33.5906,26.891,17.88,95,0,3.84,ZA,1681842732
20,margaret river,-33.95,115.0667,10.37,84,0,3.96,AU,1681842732
21,bomdila,27.25,92.4,11.97,65,6,3.33,IN,1681842733
22,olonkinbyen,70.9221,-8.7187,0.39,96,95,6.53,SJ,1681842733
23,agadez,19.75,10.25,31.11,7,0,3.02,NE,1681842733
24,al khawr,25.7667,51.3167,24.43,37,0,2.47,QA,1681842733
25,adamstown,-25.066,-130.1015,24.81,66,2,6.99,PN,1681842733
26,bandarbeyla,9.4942,50.8122,27.77,69,5,3.82,SO,1681842733
27,talitsy,56.5289,42.3344,6.27,83,13,0.55,RU,1681842733
28,rokytne,51.2796,27.214,8.65,74,100,2.12,UA,1681842734
29,arteche,12.2645,125.4048,25.49,88,94,1.85,PH,1681842734
30,fengcheng,40.4536,124.0717,10.37,33,0,1.37,CN,1681842734
31,ribeiropolis,-10.5394,-37.4167,31.58,46,100,4.77,BR,1681842734
32,at taj,24.2049,23.2857,30.16,9,0,5.02,LY,1681842734
33,yellowknife,62.456,-114.3525,4.29,56,20,7.72,CA,1681842735
34,codrington,-38.2667,141.9667,12.42,73,100,4.77,AU,1681842735
35,west island,-12.1568,96.8225,26.99,78,100,6.17,CC,1681842735
36,bardai,11.65,7.2333,32.81,26,87,2.88,NG,1681842735
37,dinguiraye,11.3,-10.7167,34.31,16,87,1.01,GN,1681842736
38,tirlyanskiy,54.2109,58.5806,2.69,87,96,0.54,RU,1681842736
39,waitangi,-43.9535,-176.5597,15.46,88,100,2.24,NZ,1681842736
40,keflavik,64.0049,-22.5624,9.95,100,100,8.75,IS,1681842736
41,bratsk,56.1325,101.6142,-7.73,67,7,2.33,RU,1681842736
42,albany,42.6001,-73.9662,9.38,64,100,4.17,US,1681842715
43,talnakh,69.4865,88.3972,-20.29,86,27,0.44,RU,1681842736
44,puerto natales,-51.7236,-72.4875,14.25,54,75,4.63,CL,1681842736
